TimeStamp,ElapsedTime,ActualAngle,UserAngle,SoundType,UserID,AttemptNumber
1715434525,8.897016,0,270,1,5,0
1715434527,1.600131,60,180,1,5,1
1715434528,1.150567,270,120,1,5,2
1715434529,0.9508572,120,90,1,5,3
1715434530,1.081929,0,210,1,5,4
1715434545,15.25076,90,240,1,8,0
1715434547,1.166761,330,0,1,8,1
1715434547,0.8667068,0,30,1,8,2
1715434548,0.966713,90,60,1,8,3
1715434550,1.231352,30,120,1,8,4
1715434552,2.402439,60,150,1,8,5
1715434553,0.8312035,210,180,1,8,6
1715434554,1.086128,180,240,1,8,7
1715434653,3.671356,0,90,1,0,0
1715434654,0.9790969,240,120,1,0,1
1715434654,0.7322249,330,90,1,0,2
1715434655,0.6339703,180,60,1,0,3
1715434656,0.8497548,330,30,1,0,4
1715434657,0.8328834,120,0,1,0,5
1715434659,1.719879,90,270,1,0,6
1715434661,2.729678,330,300,1,0,7
1715434664,3.150657,240,240,1,0,8
1715434667,2.799974,330,270,1,0,9
1715434670,2.818378,30,120,1,0,10
1715435109,1.518319,0,30,1,0,0
1715435111,1.896065,330,270,1,0,1
1715435114,2.7669,300,270,1,0,2
1715435116,2.197913,240,210,1,0,3
1715435839,45.07043,0,330,0,0,0
1715435842,2.465515,30,0,0,0,1
1715435844,2.182896,240,300,0,0,2
1715435846,2.166794,150,90,0,0,3
1715435849,2.816231,0,30,0,0,4
1715435852,2.700134,180,90,0,0,5
1715435925,18.18386,0,0,1,0,0
1715435928,2.500074,150,150,1,0,1
1715435930,1.80064,60,90,1,0,2
1715435931,1.416689,120,90,1,0,3
1715435932,1.433945,300,270,1,0,4
1715435936,3.28158,30,60,1,0,5
1715435937,1.717842,330,330,1,0,6
1715435940,2.333118,90,90,1,0,7
1715435943,3.58329,330,240,1,0,8
1715435990,0.6437573,0,0,1,0,0
1715435992,1.761965,0,180,1,0,1
1715436338,37.30619,0,0,1,0,0
1715437141,36.86938,150,90,1,1,0
1715437142,1.582214,90,90,1,1,1
1715437146,3.517666,180,270,1,1,2
1715437353,32.29831,150,150,1,5,0
1715437358,4.199306,90,90,1,5,1
1715437360,2.01725,300,300,1,5,2
1715437362,1.982071,330,270,1,5,3
1715437463,43.35881,150,150,1,5,0
1715437464,1.183964,270,240,1,5,1
1715437465,0.7326546,0,240,1,5,2
1715437466,0.3655548,270,240,1,5,3
1715437466,0.1677856,240,240,1,5,4
1715437466,0.1490326,270,240,1,5,5
1715437466,0.1512146,0,240,1,5,6
1715437466,0.1335449,270,240,1,5,7
1715437466,0.1149483,180,240,1,5,8
1715437604,29.668,150,150,1,0,0
1715437605,1.115627,180,0,1,0,1
1715437738,30.0204,150,150,1,8,0
1715437742,3.766432,210,270,1,8,1
1715437743,1.865711,90,120,1,8,2
1715437745,1.800419,120,120,1,8,3
1715437747,1.601326,90,150,1,8,4
1715437748,1.133102,150,180,1,8,5
1715437749,0.6317329,240,210,1,8,6
1715437787,38.833,150,150,1,62,0
1715437789,1.751167,120,90,1,62,1
1715437790,1.282196,270,270,1,62,2
1715437793,2.183662,60,60,1,62,3
1715437794,1.498718,270,300,1,62,4
1715437796,1.51609,300,300,1,62,5
1715437798,1.850677,210,240,1,62,6
1715438166,36.32211,150,150,0,5,0
1715438168,2.166393,0,330,0,5,1
1715438169,1.199177,300,330,0,5,2
1715438171,1.767044,270,270,0,5,3
1715438172,1.032501,30,90,0,5,4
